rownum,flightcompany,flighttype,flightclass,flightnumber,apron,stand,rdy,direction,runway,terminal
4487,HU                  ,738,C                   ,HU7108              ,PW2                 ,W201                ,2018/9/11 18:20,arrive,18R                 ,T2
4488,CA                  ,319,C                   ,CA1957              ,PM                  ,M11                 ,2018/9/11 18:20,arrive,19,T3C
4489,MU                  ,73G                 ,C                   ,MU9701              ,P8                  ,805,2018/9/11 18:20,arrive,18R                 ,T2
4490,CA                  ,73G                 ,C                   ,CA918               ,P4                  ,451,2018/9/11 18:20,arrive,1,T3E
4491,CA                  ,738,C                   ,CA1580              ,P4                  ,454,2018/9/11 18:20,arrive,1,T3C
4492,CZ                  ,788,E                   ,CZ6903              ,P6                  ,605,2018/9/11 18:20,arrive,36L                 ,T2
4493,MU                  ,321,C                   ,MU2841              ,PN1                 ,N105L               ,2018/9/11 18:30,arrive,1,T2
4494,CA                  ,332,E                   ,CA1709              ,P4                  ,463,2018/9/11 18:30,arrive,1,T3C
4495,CA                  ,738,C                   ,CA954               ,P3                  ,354,2018/9/11 18:30,arrive,1,T3E
4496,CZ                  ,321,C                   ,CZ3255              ,P7                  ,735,2018/9/11 18:30,arrive,36L                 ,T2
4497,CA                  ,773,E                   ,CA1885              ,P9                  ,953,2018/9/11 18:30,depart,1,T3C
4498,CZ                  ,788,E                   ,CZ3100              ,P8                  ,808,2018/9/11 18:30,depart,36L                 ,T2
4499,CA                  ,738,C                   ,CA1551              ,P5                  ,560,2018/9/11 18:35,depart,1,T3C
4500,MU                  ,320,C                   ,MU5188              ,P8                  ,801,2018/9/11 18:35,depart,36R                 ,T2
4501,CZ                  ,333,E                   ,CZ3189              ,P8                  ,807,2018/9/11 18:35,arrive,36L                 ,T2
4502,CA                  ,332,E                   ,CA1438              ,P3                  ,361,2018/9/11 18:40,arrive,36L                 ,T3C
4503,CA                  ,738,C                   ,CA1834              ,P3                  ,355,2018/9/11 18:40,arrive,1,T3C
4504,CZ                  ,321,C                   ,CZ6150              ,P7                  ,733,2018/9/11 18:40,depart,36R                 ,T2
4505,MU                  ,321,C                   ,MU2116              ,P8                  ,812,2018/9/11 18:40,depart,36L                 ,T2
