航班号,公司,地点,座位数,日期,时间,进出港,航站楼,登机口,出口,方式,委托
3U8890              ,3U                  ,,,,,出港,T1,0,,摆渡车,
AA9734,AA,,,,,进港,T2,,N105,廊桥,
AA9735,AA,,,,,进港,T2,,N106,廊桥,
HU7188,HU,,,,,进港,T2,,国内,摆渡车,HU
MU5115,MU,,,,,进港,T2,,国内,摆渡车,HO
MU5111,MU,,,,,进港,T2,,国内,摆渡车,
HU7189,HU,,,,,进港,T2,,国内,摆渡车,HU
MU5107,MU,,,,,进港,T2,,国内,摆渡车,HO
MU5103,MU,,,,,进港,T2,,国内,摆渡车,
GY7101,GY,,,,,进港,T2,,国内,廊桥,
3U8831,3U,,,,,进港,T2,,国内,廊桥,"EU,G5,CZ,ZH"
CA1458,CA,,,,,进港,T2,,国内,廊桥,ZH
CA1860,CA,,,,,进港,T2,,国内,廊桥,"SC,ZH"
CA1420,CA,,,,,进港,T2,,国内,廊桥,ZH
HU7246,HU,,,,,进港,T2,,国内,廊桥,HX
HU7148,HU,,,,,进港,T2,,国内,廊桥,
GY7102,GY,,,,,进港,T2,,国内,廊桥,
3U8832,4U,,,,,进港,T2,,国内,廊桥,"EU,G6,CZ,ZH"
CA1458,CA,,,,,进港,T2,,国内,廊桥,ZH
3U8893              ,3U                  ,,,,,进港,T2,,国内,廊桥,
HU7148              ,HU                  ,,,,,进港,T2,,国内,廊桥,
HU7192              ,HU                  ,,,,,进港,T2,,国内,廊桥,
CA1860,CA,,,,,进港,T2,,国内,廊桥,"SC,ZH"
CA1420,CA,,,,,进港,T2,,国内,廊桥,ZH
HU7050,HU,,,,,进港,T2,,国内,廊桥,HX
HU6952,HU,,,,,进港,T2,,国内,廊桥,
MU5162,MU,上海虹桥机场,234,,,出港,T2,19,,廊桥,
HU6209,HU,,,,,出港,T2,19,,廊桥,
HU7135,HU,长沙黄花机场,289,,,出港,T2,20,,廊桥,
MU5160,MU,上海虹桥,294,,,出港,T2,21,,廊桥,
GY7102,GY,遵义茅台机场,172,,,出港,T2,26,,廊桥,
