flightcompany,flighttype,flightclass,flightnumber,direction
3U                  ,319                 ,C                   ,3U8515              ,arrive
3U                  ,319                 ,C                   ,3U8516              ,depart
3U                  ,319                 ,C                   ,3U8819              ,depart
3U                  ,319                 ,C                   ,3U8820              ,arrive
3U                  ,319                 ,C                   ,3U8837              ,arrive
3U                  ,319                 ,C                   ,3U8838              ,depart
3U                  ,320                 ,C                   ,3U8209              ,depart
3U                  ,320                 ,C                   ,3U8210              ,arrive
3U                  ,320                 ,C                   ,3U821Z              ,arrive
3U                  ,320                 ,C                   ,3U8401              ,arrive
3U                  ,320                 ,C                   ,3U8402              ,depart
3U                  ,320                 ,C                   ,3U8723              ,depart
3U                  ,320                 ,C                   ,3U8724              ,arrive
3U                  ,320                 ,C                   ,3U8750              ,arrive
3U                  ,320                 ,C                   ,3U8804              ,arrive
3U                  ,320                 ,C                   ,3U8837              ,arrive
3U                  ,320                 ,C                   ,3U8838              ,depart
3U                  ,320                 ,C                   ,3U8891              ,arrive
3U                  ,320                 ,C                   ,3U8892              ,depart
3U                  ,320                 ,C                   ,3U8893              ,arrive
3U                  ,320                 ,C                   ,3U8894              ,depart
3U                  ,320                 ,C                   ,3U8895              ,arrive
3U                  ,320                 ,C                   ,3U8896              ,depart
3U                  ,321                 ,C                   ,3U8547              ,arrive
3U                  ,321                 ,C                   ,3U8548              ,depart
3U                  ,321                 ,C                   ,3U8829              ,arrive
3U                  ,321                 ,C                   ,3U8831              ,arrive
3U                  ,321                 ,C                   ,3U8832              ,depart
3U                  ,321                 ,C                   ,3U8834              ,depart
3U                  ,321                 ,C                   ,3U8885              ,arrive
3U                  ,321                 ,C                   ,3U8886              ,depart
3U                  ,321                 ,C                   ,3U8893              ,arrive
3U                  ,321                 ,C                   ,3U8896              ,depart
3U                  ,332                 ,E                   ,3U8547              ,arrive
3U                  ,332                 ,E                   ,3U8548              ,depart
3U                  ,332                 ,E                   ,3U8834              ,depart
3U                  ,333                 ,E                   ,3U8547              ,arrive
3U                  ,333                 ,E                   ,3U8548              ,depart
3U                  ,333                 ,E                   ,3U8883              ,arrive
3U                  ,333                 ,E                   ,3U8884              ,depart
3U                  ,333                 ,E                   ,3U8887              ,arrive
3U                  ,333                 ,E                   ,3U8888              ,depart
3U                  ,333                 ,E                   ,3U8891              ,arrive
3U                  ,333                 ,E                   ,3U8892              ,depart
7C                  ,738                 ,C                   ,7C8101              ,arrive
7C                  ,738                 ,C                   ,7C8102              ,depart
8L                  ,73G                 ,C                   ,8L9937              ,arrive
8L                  ,73G                 ,C                   ,8L9938              ,depart
8L                  ,73G                 ,C                   ,8L9981              ,arrive
8L                  ,73G                 ,C                   ,8L9982              ,depart
AA                  ,788                 ,E                   ,AA186               ,depart
AA                  ,788                 ,E                   ,AA187               ,arrive
AA                  ,788                 ,E                   ,AA262               ,depart
AA                  ,788                 ,E                   ,AA263               ,arrive
AA                  ,789                 ,E                   ,AA180               ,depart
AA                  ,789                 ,E                   ,AA180P              ,depart
AA                  ,789                 ,E                   ,AA181               ,arrive
AA                  ,789                 ,E                   ,AA262               ,depart
AA                  ,789                 ,E                   ,AA263               ,arrive
AC                  ,773                 ,E                   ,AC015               ,arrive
AC                  ,773                 ,E                   ,AC015               ,depart
AF                  ,772                 ,E                   ,AF125               ,depart
